serie,country,value,year
People using safely managed drinking water services (% of population),Liechtenstein,100.0,2018
People using safely managed drinking water services (% of population),Lithuania,94.8732512815995,2018
People using safely managed drinking water services (% of population),Luxembourg,99.5046038462513,2018
People using safely managed drinking water services (% of population),Madagascar,19.3598230600213,2018
People using safely managed drinking water services (% of population),Malawi,15.280214141913,2018
People using safely managed drinking water services (% of population),Malaysia,93.7242066106542,2018
People using safely managed drinking water services (% of population),Malta,99.8429523203843,2018
People using safely managed drinking water services (% of population),Mexico,42.6300240465305,2018
People using safely managed drinking water services (% of population),Republic of Moldova,73.7892172048201,2018
People using safely managed drinking water services (% of population),Monaco,100.0,2018
People using safely managed drinking water services (% of population),Mongolia,35.5777930570137,2018
People using safely managed drinking water services (% of population),Montenegro,84.9535745120898,2018
People using safely managed drinking water services (% of population),Morocco,73.1541232511864,2018
People using safely managed drinking water services (% of population),Myanmar,54.2449405890936,2018
People using safely managed drinking water services (% of population),Nepal,20.8958654198582,2018
People using safely managed drinking water services (% of population),Netherlands,99.9726179948876,2018
People using safely managed drinking water services (% of population),New Caledonia,96.1840301489134,2018
People using safely managed drinking water services (% of population),New Zealand,97.1428571624635,2018
People using safely managed drinking water services (% of population),Nicaragua,55.3749850927099,2018
People using safely managed drinking water services (% of population),Nigeria,26.7078130620546,2018
People using safely managed drinking water services (% of population),Republic of North Macedonia,80.3237909019868,2018
People using safely managed drinking water services (% of population),Northern Mariana Islands,90.6391752577319,2018
People using safely managed drinking water services (% of population),Norway,99.0402463525688,2018
People using safely managed drinking water services (% of population),Oman,89.8931003871863,2018
People using safely managed drinking water services (% of population),Pakistan,46.5044850703905,2018
People using safely managed drinking water services (% of population),Palau,85.4987785120794,2018
People using safely managed drinking water services (% of population),Paraguay,63.9167043454898,2018
People using safely managed drinking water services (% of population),Peru,50.8309405945818,2018
People using safely managed drinking water services (% of population),Philippines,46.9702590230394,2018
People using safely managed drinking water services (% of population),Poland,90.6905867680132,2018
People using safely managed drinking water services (% of population),Portugal,94.8641372300634,2018
People using safely managed drinking water services (% of population),Puerto Rico,99.7411658091642,2018
People using safely managed drinking water services (% of population),Qatar,96.7940880474774,2018
People using safely managed drinking water services (% of population),Romania,81.9333571772162,2018
People using safely managed drinking water services (% of population),Russian Federation,75.8601181603772,2018
People using safely managed drinking water services (% of population),Samoa,62.0158601884328,2018
People using safely managed drinking water services (% of population),San Marino,100.0,2018
People using safely managed drinking water services (% of population),Sao Tome and Principe,35.1323853007535,2018
People using safely managed drinking water services (% of population),Senegal,25.4324042760609,2018
People using safely managed drinking water services (% of population),Serbia,74.9420059674783,2018
People using safely managed drinking water services (% of population),Sierra Leone,9.17847556387583,2018
People using safely managed drinking water services (% of population),Singapore,100.0,2018
People using safely managed drinking water services (% of population),Slovakia,99.042326711847,2018
People using safely managed drinking water services (% of population),Slovenia,97.2256215857835,2018
People using safely managed drinking water services (% of population),Spain,99.5558738834628,2018
People using safely managed drinking water services (% of population),Sri Lanka,48.0017088515674,2018
People using safely managed drinking water services (% of population),Saint-Martin (French part),96.6477510539043,2018
People using safely managed drinking water services (% of population),Suriname,55.3120332257966,2018
People using safely managed drinking water services (% of population),Sweden,99.6905330218653,2018
People using safely managed drinking water services (% of population),Switzerland,96.7000009316441,2018
People using safely managed drinking water services (% of population),Tajikistan,54.3860700294647,2018
People using safely managed drinking water services (% of population),United Republic of Tanzania,10.092173476307,2018
People using safely managed drinking water services (% of population),Togo,17.8874097421064,2018
People using safely managed drinking water services (% of population),Tonga,29.4732143262293,2018
People using safely managed drinking water services (% of population),Tunisia,75.3363204139181,2018
People using safely managed drinking water services (% of population),Turkmenistan,94.7905268337908,2018
People using safely managed drinking water services (% of population),Turks and Caicos Islands,47.1715194953159,2018
People using safely managed drinking water services (% of population),Tuvalu,8.53905946004658,2018
People using safely managed drinking water services (% of population),Uganda,14.895237559752,2018
People using safely managed drinking water services (% of population),Ukraine,88.3225822149896,2018
People using safely managed drinking water services (% of population),United Kingdom of Great Britain and Northern Ireland,99.852656974279,2018
People using safely managed drinking water services (% of population),United States of America,96.8524325557664,2018
People using safely managed drinking water services (% of population),Uzbekistan,75.6617221509532,2018
People using safely managed drinking water services (% of population),Viet Nam,55.6616086338339,2018
People using safely managed drinking water services (% of population),United States Virgin Islands,97.9359935454068,2018
People using safely managed drinking water services (% of population),Palestine,79.0490188936285,2018
People using safely managed drinking water services (% of population),Zimbabwe,26.807938485019,2018
"People using safely managed drinking water services, urban (% of urban population)",Afghanistan,34.0867594177618,2018
"People using safely managed drinking water services, urban (% of urban population)",Algeria,77.3652960487784,2018
"People using safely managed drinking water services, urban (% of urban population)",Australia,99.6105699703838,2018
"People using safely managed drinking water services, urban (% of urban population)",Azerbaijan,92.0407054205279,2018
"People using safely managed drinking water services, urban (% of urban population)",Bangladesh,50.6144157943588,2018
"People using safely managed drinking water services, urban (% of urban population)",Bhutan,50.8821891204659,2018
"People using safely managed drinking water services, urban (% of urban population)",Botswana,73.8525874568864,2018
"People using safely managed drinking water services, urban (% of urban population)",Brazil,86.8456632025377,2018
"People using safely managed drinking water services, urban (% of urban population)",Cambodia,55.3650671488648,2018
"People using safely managed drinking water services, urban (% of urban population)",Central African Republic,12.0425603970268,2018
"People using safely managed drinking water services, urban (% of urban population)",Chad,17.2082249581428,2018
"People using safely managed drinking water services, urban (% of urban population)",Chile,99.4218210533229,2018
"People using safely managed drinking water services, urban (% of urban population)",China,96.270640132075,2018
"People using safely managed drinking water services, urban (% of urban population)",Colombia,81.2252815206725,2018
"People using safely managed drinking water services, urban (% of urban population)",Democratic Republic of the Congo,24.9968477406155,2018
"People using safely managed drinking water services, urban (% of urban population)",Congo.,58.6264037537507,2018
"People using safely managed drinking water services, urban (% of urban population)",Costa Rica,80.38785,2018
"People using safely managed drinking water services, urban (% of urban population)",Côte d'Ivoire,53.8028210834529,2018
"People using safely managed drinking water services, urban (% of urban population)",Croatia,96.55,2018
"People using safely managed drinking water services, urban (% of urban population)",Czechia,97.9600240311468,2018
"People using safely managed drinking water services, urban (% of urban population)",Dominican Republic,46.9086897623403,2018
"People using safely managed drinking water services, urban (% of urban population)",Ecuador,74.65207,2018
"People using safely managed drinking water services, urban (% of urban population)",El Salvador,79.7982993506818,2018
"People using safely managed drinking water services, urban (% of urban population)",Eswatini,77.7637934834173,2018
"People using safely managed drinking water services, urban (% of urban population)",Ethiopia,38.0187421812277,2018
"People using safely managed drinking water services, urban (% of urban population)",Fiji,52.4915686718231,2018
"People using safely managed drinking water services, urban (% of urban population)",France,99.4473838630807,2018
"People using safely managed drinking water services, urban (% of urban population)",Gambia,67.3783563730206,2018
"People using safely managed drinking water services, urban (% of urban population)",Georgia,87.8441150218113,2018
"People using safely managed drinking water services, urban (% of urban population)",Germany,99.9707433098689,2018
"People using safely managed drinking water services, urban (% of urban population)",Ghana,57.7545973095916,2018
"People using safely managed drinking water services, urban (% of urban population)",Gibraltar,100.0,2018
"People using safely managed drinking water services, urban (% of urban population)",Guatemala,65.2398598224563,2018
"People using safely managed drinking water services, urban (% of urban population)",Guinea-Bissau,37.2139785292495,2018
"People using safely managed drinking water services, urban (% of urban population)",Honduras,77.9329770592279,2018
"People using safely managed drinking water services, urban (% of urban population)","China, Hong Kong SAR",100.0,2018
"People using safely managed drinking water services, urban (% of urban population)",Hungary,96.7988438289185,2018
"People using safely managed drinking water services, urban (% of urban population)",Indonesia,34.0483287671088,2018
"People using safely managed drinking water services, urban (% of urban population)",Iran (Islamic Republic of),96.0805270463519,2018
"People using safely managed drinking water services, urban (% of urban population)",Iraq,64.3382137891061,2018
"People using safely managed drinking water services, urban (% of urban population)",Israel,99.5380862711823,2018
"People using safely managed drinking water services, urban (% of urban population)",Kiribati,19.7047803541931,2018
"People using safely managed drinking water services, urban (% of urban population)",Democratic People's Republic of Korea,77.0777665392191,2018
"People using safely managed drinking water services, urban (% of urban population)",Kuwait,100.0,2018
"People using safely managed drinking water services, urban (% of urban population)",Kyrgyzstan,90.8203253733608,2018
"People using safely managed drinking water services, urban (% of urban population)",Lao People's Democratic Republic,26.6940472605376,2018
"People using safely managed drinking water services, urban (% of urban population)",Lesotho,69.9024826551214,2018
"People using safely managed drinking water services, urban (% of urban population)",Lithuania,99.3242989856502,2018
"People using safely managed drinking water services, urban (% of urban population)",Luxembourg,99.8,2018
"People using safely managed drinking water services, urban (% of urban population)",Malawi,49.4473047071179,2018
"People using safely managed drinking water services, urban (% of urban population)",Monaco,100.0,2018
"People using safely managed drinking water services, urban (% of urban population)",Mongolia,47.4446494278615,2018
"People using safely managed drinking water services, urban (% of urban population)",Montenegro,87.31913,2018
"People using safely managed drinking water services, urban (% of urban population)",Morocco,89.7896868555685,2018
"People using safely managed drinking water services, urban (% of urban population)",Myanmar,71.3767452153127,2018
"People using safely managed drinking water services, urban (% of urban population)",Nepal,28.0913706055171,2018
"People using safely managed drinking water services, urban (% of urban population)",Nicaragua,67.3047578434431,2018
"People using safely managed drinking water services, urban (% of urban population)",Nigeria,34.6978638941215,2018
"People using safely managed drinking water services, urban (% of urban population)",Republic of North Macedonia,84.6430898944197,2018
"People using safely managed drinking water services, urban (% of urban population)",Pakistan,54.4452293513847,2018
"People using safely managed drinking water services, urban (% of urban population)",Palau,92.6700295531797,2018
"People using safely managed drinking water services, urban (% of urban population)",Paraguay,72.1779848066927,2018
"People using safely managed drinking water services, urban (% of urban population)",Peru,59.1903864617482,2018
"People using safely managed drinking water services, urban (% of urban population)",Philippines,61.5259180108978,2018
"People using safely managed drinking water services, urban (% of urban population)",Portugal,97.0983868871769,2018
"People using safely managed drinking water services, urban (% of urban population)",Romania,94.9535041959628,2018
"People using safely managed drinking water services, urban (% of urban population)",Rwanda,49.3787240404915,2018
"People using safely managed drinking water services, urban (% of urban population)",Samoa,89.9963038648372,2018
"People using safely managed drinking water services, urban (% of urban population)",Sao Tome and Principe,39.6501480865692,2018
"People using safely managed drinking water services, urban (% of urban population)",Senegal,40.8253404792841,2018
"People using safely managed drinking water services, urban (% of urban population)",Serbia,81.5118485178854,2018
"People using safely managed drinking water services, urban (% of urban population)",Sierra Leone,11.9762426935199,2018
"People using safely managed drinking water services, urban (% of urban population)",Singapore,100.0,2018
"People using safely managed drinking water services, urban (% of urban population)",South Africa,82.6704394134468,2018
"People using safely managed drinking water services, urban (% of urban population)",Spain,99.7813502450769,2018
"People using safely managed drinking water services, urban (% of urban population)",Sri Lanka,91.5931083419863,2018
"People using safely managed drinking water services, urban (% of urban population)",Saint-Martin (French part),96.6477510539043,2018
"People using safely managed drinking water services, urban (% of urban population)",Suriname,63.3033955769051,2018
"People using safely managed drinking water services, urban (% of urban population)",United Republic of Tanzania,24.419695592017,2018
"People using safely managed drinking water services, urban (% of urban population)",Togo,32.6318245575859,2018
"People using safely managed drinking water services, urban (% of urban population)",Tonga,50.6039834627269,2018
"People using safely managed drinking water services, urban (% of urban population)",Tunisia,80.4181000365562,2018
"People using safely managed drinking water services, urban (% of urban population)",Turkmenistan,97.0826470588235,2018
"People using safely managed drinking water services, urban (% of urban population)",Turks and Caicos Islands,46.542834789086,2018
"People using safely managed drinking water services, urban (% of urban population)",Tuvalu,10.4569998818108,2018
"People using safely managed drinking water services, urban (% of urban population)",Uganda,39.6218632980759,2018
"People using safely managed drinking water services, urban (% of urban population)",Ukraine,88.3921642944989,2018
"People using safely managed drinking water services, urban (% of urban population)",United States of America,97.2403422430939,2018
"People using safely managed drinking water services, urban (% of urban population)",Uruguay,94.5887445887446,2018
"People using safely managed drinking water services, urban (% of urban population)",Uzbekistan,88.39361049316,2018
"People using safely managed drinking water services, urban (% of urban population)",Vanuatu,55.9729166955515,2018
"People using safely managed drinking water services, urban (% of urban population)",Viet Nam,75.3478414982329,2018
"People using safely managed drinking water services, urban (% of urban population)",Palestine,80.3723862924336,2018
"People using safely managed drinking water services, urban (% of urban population)",Zambia,47.0938521351783,2018
"People using safely managed drinking water services, urban (% of urban population)",Zimbabwe,55.1862438149131,2018
"People using safely managed drinking water services, rural (% of rural population)",Afghanistan,24.013013793348,2018
"People using safely managed drinking water services, rural (% of rural population)",Algeria,68.8556800175559,2018
"People using safely managed drinking water services, rural (% of rural population)",Azerbaijan,76.2601634549889,2018
"People using safely managed drinking water services, rural (% of rural population)",Bangladesh,61.8287957438982,2018
"People using safely managed drinking water services, rural (% of rural population)",Bhutan,67.7074809160313,2018
"People using safely managed drinking water services, rural (% of rural population)",Brazil,68.6368795195501,2018
"People using safely managed drinking water services, rural (% of rural population)",Cambodia,17.9405339743458,2018
"People using safely managed drinking water services, rural (% of rural population)",Central African Republic,2.39430094017258,2018
"People using safely managed drinking water services, rural (% of rural population)",Chad,2.73377163924496,2018
"People using safely managed drinking water services, rural (% of rural population)",Colombia,39.0920743387093,2018
"People using safely managed drinking water services, rural (% of rural population)",Democratic Republic of the Congo,0.523543863628322,2018
"People using safely managed drinking water services, rural (% of rural population)",Congo.,19.0581384028427,2018
"People using safely managed drinking water services, rural (% of rural population)",Costa Rica,81.05455,2018
"People using safely managed drinking water services, rural (% of rural population)",Côte d'Ivoire,26.5343618884737,2018
"People using safely managed drinking water services, rural (% of rural population)",Croatia,,2018
"People using safely managed drinking water services, rural (% of rural population)",Czechia,97.661031292224,2018
"People using safely managed drinking water services, rural (% of rural population)",Dominican Republic,34.6782666804995,2018
"People using safely managed drinking water services, rural (% of rural population)",Ecuador,51.8284072500554,2018
"People using safely managed drinking water services, rural (% of rural population)",Ethiopia,4.28744727002229,2018
"People using safely managed drinking water services, rural (% of rural population)",Fiji,27.0353137643705,2018
"People using safely managed drinking water services, rural (% of rural population)",France,98.4,2018
"People using safely managed drinking water services, rural (% of rural population)",Gambia,10.3236388962304,2018
"People using safely managed drinking water services, rural (% of rural population)",Georgia,40.1495192776648,2018
"People using safely managed drinking water services, rural (% of rural population)",Germany,99.6858823529412,2018
"People using safely managed drinking water services, rural (% of rural population)",Ghana,14.2099291649707,2018
"People using safely managed drinking water services, rural (% of rural population)",Guatemala,44.8211322788221,2018
"People using safely managed drinking water services, rural (% of rural population)",Guinea-Bissau,12.0932801932343,2018
"People using safely managed drinking water services, rural (% of rural population)",Honduras,44.2986281909262,2018
"People using safely managed drinking water services, rural (% of rural population)",Hungary,94.5109489051083,2018
"People using safely managed drinking water services, rural (% of rural population)",India,58.235984022375,2018
"People using safely managed drinking water services, rural (% of rural population)",Indonesia,23.0874526484648,2018
"People using safely managed drinking water services, rural (% of rural population)",Iran (Islamic Republic of),86.4764659555589,2018
"People using safely managed drinking water services, rural (% of rural population)",Iraq,45.8411093741484,2018
"People using safely managed drinking water services, rural (% of rural population)",Israel,99.4146301723448,2018
"People using safely managed drinking water services, rural (% of rural population)",Kiribati,6.27165269539241,2018
"People using safely managed drinking water services, rural (% of rural population)",Democratic People's Republic of Korea,49.2261691777155,2018
"People using safely managed drinking water services, rural (% of rural population)",Kyrgyzstan,61.7362682062961,2018
"People using safely managed drinking water services, rural (% of rural population)",Lao People's Democratic Republic,12.0256403771699,2018
"People using safely managed drinking water services, rural (% of rural population)",Lesotho,8.31090873565141,2018
"People using safely managed drinking water services, rural (% of rural population)",Luxembourg,96.524738095238,2018
"People using safely managed drinking water services, rural (% of rural population)",Madagascar,9.0222357552476,2018
"People using safely managed drinking water services, rural (% of rural population)",Malawi,8.31335756130803,2018
"People using safely managed drinking water services, rural (% of rural population)",Mongolia,9.83775773455915,2018
"People using safely managed drinking water services, rural (% of rural population)",Morocco,45.4837144432744,2018
"People using safely managed drinking water services, rural (% of rural population)",Myanmar,46.6986138554885,2018
"People using safely managed drinking water services, rural (% of rural population)",Nepal,19.1261265895557,2018
"People using safely managed drinking water services, rural (% of rural population)",Nicaragua,38.5430686435558,2018
"People using safely managed drinking water services, rural (% of rural population)",Nigeria,18.6070584651054,2018
"People using safely managed drinking water services, rural (% of rural population)",Republic of North Macedonia,74.3680934497596,2018
"People using safely managed drinking water services, rural (% of rural population)",Pakistan,41.9073449487766,2018
"People using safely managed drinking water services, rural (% of rural population)",Palau,56.9388407357279,2018
"People using safely managed drinking water services, rural (% of rural population)",Paraguay,50.6726388120202,2018
"People using safely managed drinking water services, rural (% of rural population)",Peru,21.352853669176,2018
"People using safely managed drinking water services, rural (% of rural population)",Philippines,34.1105173121726,2018
"People using safely managed drinking water services, rural (% of rural population)",Portugal,90.6761007423362,2018
"People using safely managed drinking water services, rural (% of rural population)",Romania,66.6500664010624,2018
"People using safely managed drinking water services, rural (% of rural population)",Samoa,55.7723907976222,2018
"People using safely managed drinking water services, rural (% of rural population)",Sao Tome and Principe,23.038893535651,2018
"People using safely managed drinking water services, rural (% of rural population)",Senegal,11.676467489261,2018
"People using safely managed drinking water services, rural (% of rural population)",Serbia,66.5490993917037,2018
"People using safely managed drinking water services, rural (% of rural population)",Sierra Leone,7.14792827559961,2018
"People using safely managed drinking water services, rural (% of rural population)",Spain,98.6356001759805,2018
"People using safely managed drinking water services, rural (% of rural population)",Sri Lanka,38.1224768338256,2018
"People using safely managed drinking water services, rural (% of rural population)",Suriname,39.7578382967411,2018
"People using safely managed drinking water services, rural (% of rural population)",United Republic of Tanzania,2.7847557608713,2018
"People using safely managed drinking water services, rural (% of rural population)",Togo,7.34036570334191,2018
"People using safely managed drinking water services, rural (% of rural population)",Tonga,23.114659226918,2018
"People using safely managed drinking water services, rural (% of rural population)",Tunisia,64.054293797467,2018
"People using safely managed drinking water services, rural (% of rural population)",Turkmenistan,92.3475490196079,2018
"People using safely managed drinking water services, rural (% of rural population)",Turks and Caicos Islands,55.651551273702,2018
"People using safely managed drinking water services, rural (% of rural population)",Tuvalu,5.35785787830778,2018
"People using safely managed drinking water services, rural (% of rural population)",Uganda,7.18329127271553,2018
"People using safely managed drinking water services, rural (% of rural population)",Ukraine,88.1651336759237,2018
"People using safely managed drinking water services, rural (% of rural population)",Uzbekistan,62.6840505261388,2018
"People using safely managed drinking water services, rural (% of rural population)",Viet Nam,44.6269826716283,2018
"People using safely managed drinking water services, rural (% of rural population)",Palestine,74.8204166812577,2018
"People using safely managed drinking water services, rural (% of rural population)",Zimbabwe,13.3247802524195,2018
"People using at least basic drinking water services, urban (% of urban population)",Afghanistan,91.4262336612178,2018
"People using at least basic drinking water services, urban (% of urban population)",Albania,95.5773900084491,2018
"People using at least basic drinking water services, urban (% of urban population)",Algeria,95.7988683914364,2018
"People using at least basic drinking water services, urban (% of urban population)",Andorra,100.0,2018
"People using at least basic drinking water services, urban (% of urban population)",Angola,71.7431486173784,2018
"People using at least basic drinking water services, urban (% of urban population)",Antigua and Barbuda,98.4145801222122,2018
"People using at least basic drinking water services, urban (% of urban population)",Argentina,99.7061263855542,2018
"People using at least basic drinking water services, urban (% of urban population)",Armenia,99.8651257272738,2018
"People using at least basic drinking water services, urban (% of urban population)",Australia,99.965,2018
"People using at least basic drinking water services, urban (% of urban population)",Austria,100.0,2018
"People using at least basic drinking water services, urban (% of urban population)",Azerbaijan,99.7460909461153,2018
"People using at least basic drinking water services, urban (% of urban population)",Bangladesh,97.8691278022226,2018
"People using at least basic drinking water services, urban (% of urban population)",Belarus,98.703208952484,2018
"People using at least basic drinking water services, urban (% of urban population)",Belgium,100.0,2018
"People using at least basic drinking water services, urban (% of urban population)",Belize,98.87896,2018
"People using at least basic drinking water services, urban (% of urban population)",Benin,74.4877616714975,2018
"People using at least basic drinking water services, urban (% of urban population)",Bermuda,99.9031400170636,2018
"People using at least basic drinking water services, urban (% of urban population)",Bhutan,98.8466314916711,2018
"People using at least basic drinking water services, urban (% of urban population)",Bolivia (Plurinational State of),98.7784504562054,2018
"People using at least basic drinking water services, urban (% of urban population)",Bosnia and Herzegovina,94.845704401265,2018
"People using at least basic drinking water services, urban (% of urban population)",Botswana,97.4327630924747,2018
"People using at least basic drinking water services, urban (% of urban population)",Brazil,99.7398013937364,2018
"People using at least basic drinking water services, urban (% of urban population)",Bulgaria,99.6456298254101,2018
"People using at least basic drinking water services, urban (% of urban population)",Burkina Faso,80.3360790652091,2018
"People using at least basic drinking water services, urban (% of urban population)",Burundi,90.2196561315286,2018
"People using at least basic drinking water services, urban (% of urban population)",Cabo Verde,93.0548185573899,2018
"People using at least basic drinking water services, urban (% of urban population)",Cambodia,91.4637049458769,2018
"People using at least basic drinking water services, urban (% of urban population)",Cameroon,81.6416440003569,2018
"People using at least basic drinking water services, urban (% of urban population)",Canada,99.2748279603399,2018
"People using at least basic drinking water services, urban (% of urban population)",Cayman Islands,95.648773006135,2018
"People using at least basic drinking water services, urban (% of urban population)",Central African Republic,52.8791798751133,2018
"People using at least basic drinking water services, urban (% of urban population)",Chad,77.5458332416956,2018
"People using at least basic drinking water services, urban (% of urban population)",Chile,100.0,2018
"People using at least basic drinking water services, urban (% of urban population)",China,98.2334959438254,2018
"People using at least basic drinking water services, urban (% of urban population)",Colombia,99.6878778577855,2018
"People using at least basic drinking water services, urban (% of urban population)",Comoros,88.2228455784335,2018
"People using at least basic drinking water services, urban (% of urban population)",Democratic Republic of the Congo,61.7136975701785,2018
"People using at least basic drinking water services, urban (% of urban population)",Congo.,87.093296161588,2018
"People using at least basic drinking water services, urban (% of urban population)",Costa Rica,99.82687,2018
"People using at least basic drinking water services, urban (% of urban population)",Côte d'Ivoire,86.8681244034531,2018
"People using at least basic drinking water services, urban (% of urban population)",Croatia,100.0,2018
"People using at least basic drinking water services, urban (% of urban population)",Cuba,95.6523286037319,2018
"People using at least basic drinking water services, urban (% of urban population)",Cyprus,99.7251581174845,2018
"People using at least basic drinking water services, urban (% of urban population)",Czechia,99.9026509321019,2018
"People using at least basic drinking water services, urban (% of urban population)",Denmark,100.0,2018
"People using at least basic drinking water services, urban (% of urban population)",Djibouti,84.0190686583421,2018
"People using at least basic drinking water services, urban (% of urban population)",Dominican Republic,97.3981316482394,2018
"People using at least basic drinking water services, urban (% of urban population)",Ecuador,100.0,2018
"People using at least basic drinking water services, urban (% of urban population)",Egypt,99.3101169699121,2018
"People using at least basic drinking water services, urban (% of urban population)",El Salvador,99.4002340121926,2018
"People using at least basic drinking water services, urban (% of urban population)",Equatorial Guinea,,2018
"People using at least basic drinking water services, urban (% of urban population)",Eritrea,,2018
"People using at least basic drinking water services, urban (% of urban population)",Estonia,99.9465169945112,2018
"People using at least basic drinking water services, urban (% of urban population)",Eswatini,96.258806949273,2018
"People using at least basic drinking water services, urban (% of urban population)",Ethiopia,81.9721279573661,2018
"People using at least basic drinking water services, urban (% of urban population)",Fiji,98.6101578594038,2018
"People using at least basic drinking water services, urban (% of urban population)",Finland,100.0,2018
"People using at least basic drinking water services, urban (% of urban population)",France,100.0,2018
"People using at least basic drinking water services, urban (% of urban population)",Gabon,89.7083168304244,2018
"People using at least basic drinking water services, urban (% of urban population)",Gambia,89.2879407272719,2018
"People using at least basic drinking water services, urban (% of urban population)",Georgia,98.946283101073,2018
"People using at least basic drinking water services, urban (% of urban population)",Germany,100.0,2018
"People using at least basic drinking water services, urban (% of urban population)",Ghana,94.9058230484242,2018
"People using at least basic drinking water services, urban (% of urban population)",Gibraltar,100.0,2018
"People using at least basic drinking water services, urban (% of urban population)",Greece,100.0,2018
"People using at least basic drinking water services, urban (% of urban population)",Guatemala,97.3675273420629,2018
